Time,RPx,RPy,RPz
9.157208,-0.2864075,-53.71632,355.0638
10.16924,-337.3153,17.07381,-5.783173
11.19207,22.32362,-18.07306,5.78537
12.21152,1.816418,0.08093262,-356.7585
13.23492,9.200615,14.99718,4.002694
14.25607,-19.35,-17.25383,-3.900833
15.27894,-10.03432,13.52669,337.0094
16.2999,21.24084,6.284424,6.547668
17.32173,-17.15081,18.61501,-344.1708
18.33376,8.126453,-1.324875,358.2769
19.3544,-6.414718,-25.01759,-0.4127197
20.37681,-10.64553,-8.636642,-356.2138
21.39863,16.05138,15.10406,-0.05379033
22.42015,-10.78863,20.28175,354.8618
23.43108,27.47795,-9.816818,-2.312012
24.44448,-29.05188,12.59459,2.169434
25.46397,-1.796226,-7.800262,-355.6693
26.47465,24.6033,-41.92628,1.195494
27.49497,-18.93415,42.59041,-2.150583
28.50654,12.64114,-42.51189,2.164021
29.51762,3.197464,5.203918,0.5625229
30.53881,-12.60267,29.4583,3.244641
31.55988,-7.487257,12.74359,351.2341
32.5711,6.895724,-2.395142,-1.844513
33.59431,-1.058319,-7.558823,0.540863
34.61479,-0.7560225,-1.580521,0.4876099
35.63556,-6.632798,5.695007,1.015472
36.64635,9.125898,-0.5462036,-358.1284
37.65758,-3.985518,-3.946106,1.762758
38.67013,21.80961,-4.766907,1.815173
39.69235,-1.553007,8.747192,-0.976588
40.71266,-16.64109,-19.99892,353.2469
41.72357,5.917083,22.10553,-355.0238
42.74546,-17.77387,-3.198868,358.1445
43.76798,2.475852,-2.743759,-358.4144
44.78953,0.581068,-4.036362,0.1509197
45.81049,-0.6433048,2.543854,3.229899
Time,SMx,SMy,SMz
1.015216,-0.3727417,181.6303,-358.6089
2.036808,2.292664,-4.925079,9.342058
3.059085,4.42218,-26.59406,349.5938
4.069881,-4.083191,56.66083,-355.2741
5.091102,1.123718,7.921051,-3.114457
6.104456,4.020905,-17.48108,0.02252996
7.125914,-8.19577,6.052002,0.07899559
8.146507,6.377319,-12.16339,1.72922
9.157208,-0.2864075,-53.71632,355.0638
10.16924,-337.3153,17.07381,-5.783173
11.19207,22.32362,-18.07306,5.78537
12.21152,1.816418,0.08093262,-356.7585
13.23492,9.200615,14.99718,4.002694
14.25607,-19.35,-17.25383,-3.900833
15.27894,-10.03432,13.52669,337.0094
16.2999,21.24084,6.284424,6.547668
17.32173,-17.15081,18.61501,-344.1708
18.33376,8.126453,-1.324875,358.2769
19.3544,-6.414718,-25.01759,-0.4127197
20.37681,-10.64553,-8.636642,-356.2138
21.39863,16.05138,15.10406,-0.05379033
22.42015,-10.78863,20.28175,354.8618
23.43108,27.47795,-9.816818,-2.312012
24.44448,-29.05188,12.59459,2.169434
25.46397,-1.796226,-7.800262,-355.6693
26.47465,24.6033,-41.92628,1.195494
27.49497,-18.93415,42.59041,-2.150583
28.50654,12.64114,-42.51189,2.164021
29.51762,3.197464,5.203918,0.5625229
30.53881,-12.60267,29.4583,3.244641
31.55988,-7.487257,12.74359,351.2341
32.5711,6.895724,-2.395142,-1.844513
33.59431,-1.058319,-7.558823,0.540863
34.61479,-0.7560225,-1.580521,0.4876099
35.63556,-6.632798,5.695007,1.015472
36.64635,9.125898,-0.5462036,-358.1284
37.65758,-3.985518,-3.946106,1.762758
38.67013,21.80961,-4.766907,1.815173
39.69235,-1.553007,8.747192,-0.976588
40.71266,-16.64109,-19.99892,353.2469
41.72357,5.917083,22.10553,-355.0238
42.74546,-17.77387,-3.198868,358.1445
43.76798,2.475852,-2.743759,-358.4144
44.78953,0.581068,-4.036362,0.1509197
45.81049,-0.6433048,2.543854,3.229899
Time,SVx,SVy,SVz
1.015216,0,0,0
2.036808,0,0,0
3.059085,0,0,0
4.069881,0,0,0
5.091102,0,0,0
6.104456,0,0,0
7.125914,0,0,0
8.146507,0,0,0
9.157208,0,0,0
10.16924,0,0,0
11.19207,0,0,0
12.21152,0,0,0
13.23492,0,0,0
14.25607,0,0,0
15.27894,0,0,0
16.2999,0,0,0
17.32173,0,0,0
18.33376,0,0,0
19.3544,0,0,0
20.37681,0.3968387,-0.1722277,0.4672847
21.39863,1.856824,-0.1979122,0.5137112
22.42015,1.90138,0.03203481,0.07944822
23.43108,1.692264,-0.05938244,0.444747
24.44448,0.1690106,-0.05952442,0.1901066
25.46397,-0.1313415,0.123008,0.5549247
26.47465,-0.5561724,-0.1671889,0.1804988
27.49497,-0.02119637,-0.1394336,-0.4472485
28.50654,0,0,0
29.51762,0,0,0
30.53881,0,0,0
31.55988,0,0,0
32.5711,-1.343009,0.05122638,0.1153257
33.59431,-1.79725,-0.09185171,0.008900166
34.61479,-1.229705,-0.2586337,-0.7939427
35.63556,-1.289856,0.02313519,-0.8499739
36.64635,-0.7139819,0.1586003,-0.4095905
37.65758,-0.08838725,0.1367259,0.2170901
38.67013,0.9754156,0.6527611,0.3778679
39.69235,1.147551,0.3564477,0.4019442
40.71266,0.08755517,-0.0003460646,0.1744628
41.72357,0,0,0
42.74546,0,0,0
43.76798,0,0,0
44.78953,0,0,0
45.81049,0,0,0
Time,LCPx,LCPy,LCPz
1.015216,-0.3727417,181.6303,-358.6089
2.036808,2.292664,-4.925079,9.342058
3.059085,4.42218,-26.59406,349.5938
4.069881,-4.083191,56.66083,-355.2741
5.091102,1.123718,7.921051,-3.114457
6.104456,4.020905,-17.48108,0.02252996
7.125914,-8.19577,6.052002,0.07899559
8.146507,6.377319,-12.16339,1.72922
9.157208,-0.2864075,-53.71632,355.0638
10.16924,-337.3153,17.07381,-5.783173
11.19207,22.32362,-18.07306,5.78537
12.21152,1.816418,0.08093262,-356.7585
13.23492,9.200615,14.99718,4.002694
14.25607,-19.35,-17.25383,-3.900833
15.27894,-10.03432,13.52669,337.0094
16.2999,21.24084,6.284424,6.547668
17.32173,-17.15081,18.61501,-344.1708
18.33376,8.126453,-1.324875,358.2769
19.3544,-6.414718,-25.01759,-0.4127197
20.37681,-10.64553,-8.636642,-356.2138
21.39863,16.05138,15.10406,-0.05379033
22.42015,-10.78863,20.28175,354.8618
23.43108,27.47795,-9.816818,-2.312012
24.44448,-29.05188,12.59459,2.169434
25.46397,-1.796226,-7.800262,-355.6693
26.47465,24.6033,-41.92628,1.195494
27.49497,-18.93415,42.59041,-2.150583
28.50654,12.64114,-42.51189,2.164021
29.51762,3.197464,5.203918,0.5625229
30.53881,-12.60267,29.4583,3.244641
31.55988,-7.487257,12.74359,351.2341
32.5711,6.895724,-2.395142,-1.844513
33.59431,-1.058319,-7.558823,0.540863
34.61479,-0.7560225,-1.580521,0.4876099
35.63556,-6.632798,5.695007,1.015472
36.64635,9.125898,-0.5462036,-358.1284
37.65758,-3.985518,-3.946106,1.762758
38.67013,21.80961,-4.766907,1.815173
39.69235,-1.553007,8.747192,-0.976588
40.71266,-16.64109,-19.99892,353.2469
41.72357,5.917083,22.10553,-355.0238
42.74546,-17.77387,-3.198868,358.1445
43.76798,2.475852,-2.743759,-358.4144
44.78953,0.581068,-4.036362,0.1509197
45.81049,-0.6433048,2.543854,3.229899
Time,LCRx,LCRy,LCRz
1.015216,0,0,0
2.036808,0,0,0
3.059085,0,0,0
4.069881,0,0,0
5.091102,0,0,0
6.104456,0,0,0
7.125914,0,0,0
8.146507,0,0,0
9.157208,0,0,0
10.16924,0,0,0
11.19207,0,0,0
12.21152,0,0,0
13.23492,0,0,0
14.25607,0,0,0
15.27894,15.4715,115.4545,191.0357
16.2999,16.73433,124.8067,206.4329
17.32173,332.8144,243.2853,13.31247
18.33376,333.826,223.3592,9.623808
19.3544,314.5004,214.6305,23.05396
20.37681,302.1285,250.7343,346.4364
21.39863,308.0947,257.7109,353.647
22.42015,309.8102,261.9891,349.7628
23.43108,298.6655,219.0106,7.308516
24.44448,333.8851,237.8495,341.5444
25.46397,325.8697,255.0214,6.580645
26.47465,308.7557,288.6068,353.6788
27.49497,344.6396,238.7157,354.6581
28.50654,327.5698,234.4056,345.3259
29.51762,325.7268,232.9774,346.9728
30.53881,325.5183,233.4127,347.3743
31.55988,307.0443,236.3052,334.0578
32.5711,300.4944,259.8441,353.5113
33.59431,298.3719,264.9893,347.3082
34.61479,296.6852,267.0239,344.2522
35.63556,296.7922,271.7877,341.5019
36.64635,297.472,263.1155,350.7097
37.65758,330.7711,247.4636,0.1764341
38.67013,340.0963,247.0148,5.890574
39.69235,315.5847,216.4072,358.919
40.71266,339.9597,239.3616,356.4272
41.72357,332.0584,234.3701,354.6946
42.74546,329.0818,221.9902,0.7771527
43.76798,316.7478,201.3156,4.522596
44.78953,318.4324,202.7853,3.487087
45.81049,319.8244,203.2592,3.25784
Time,LCVx,LCVy,LCVz
1.015216,0,0,0
2.036808,0,0,0
3.059085,0,0,0
4.069881,0,0,0
5.091102,0,0,0
6.104456,0,0,0
7.125914,0,0,0
8.146507,0,0,0
9.157208,0,0,0
10.16924,0,0,0
11.19207,0,0,0
12.21152,0,0,0
13.23492,0,0,0
14.25607,0,0,0
15.27894,0.4573169,0.3679833,0.7098794
16.2999,-0.03162408,0.02005911,-0.06846714
17.32173,-0.460819,-0.2091905,-0.01211071
18.33376,0.03750753,-0.1190637,-0.1223636
19.3544,0.05204451,0.05077243,-0.134685
20.37681,0.2455941,-0.03449309,0.4191093
21.39863,1.854132,-0.2830399,0.6360044
22.42015,1.901646,0.01424831,0.0864439
23.43108,1.811866,0.01859927,0.2321703
24.44448,0.1363511,-0.200796,0.4445398
25.46397,-0.1013384,0.1546165,0.5805135
26.47465,-0.4868655,-0.1211557,0.2734847
27.49497,-0.1236906,-0.2556726,-0.5670681
28.50654,0.03413391,0.01040965,0.009468079
29.51762,0.003956318,0.001349747,-0.004836559
30.53881,0.001447678,-0.00139904,-0.0006670952
31.55988,0.01010847,0.03004724,0.01007605
32.5711,-1.307377,0.09247416,0.1644979
33.59431,-1.793565,-0.09335613,0.01838732
34.61479,-1.22663,-0.2570781,-0.7907677
35.63556,-1.288076,0.01811481,-0.8415117
36.64635,-0.712592,0.1724398,-0.4267128
37.65758,-0.1651491,0.0524019,0.1659076
38.67013,0.9575944,0.6213688,0.3824933
39.69235,1.205569,0.4522556,0.1634552
40.71266,0.03163052,-0.08826983,0.38905
41.72357,0.007211685,0.0002322197,-0.01766491
42.74546,0.01595306,0.01730585,-0.04221869
43.76798,0.04294586,0.06283212,-0.09353518
44.78953,-0.004598618,-0.00834322,-0.0006334782
45.81049,-0.001846552,-0.006792545,0.006953001
Time,LCAVx,LCAVy,LCAVy
1.015216,0,0,0
2.036808,0,0,0
3.059085,0,0,0
4.069881,0,0,0
5.091102,0,0,0
6.104456,0,0,0
7.125914,0,0,0
8.146507,0,0,0
9.157208,0,0,0
10.16924,0,0,0
11.19207,0,0,0
12.21152,0,0,0
13.23492,0,0,0
14.25607,0,0,0
15.27894,15.4715,115.4545,191.0357
16.2999,1.262831,9.352264,15.39714
17.32173,316.08,118.4785,-193.1204
18.33376,1.011597,-19.9261,-3.688663
19.3544,-19.32556,-8.728683,13.43015
20.37681,-12.37192,36.10385,323.3824
21.39863,5.966248,6.976593,7.210602
22.42015,1.715424,4.278168,-3.884125
23.43108,-11.14468,-42.97849,-342.4543
24.44448,35.21967,18.8389,334.2359
25.46397,-8.015442,17.17189,-334.9637
26.47465,-17.11401,33.5854,347.0981
27.49497,35.88388,-49.8911,0.9793091
28.50654,-17.06973,-4.310104,-9.332184
29.51762,-1.843018,-1.428192,1.646851
30.53881,-0.2085266,0.4352722,0.4014893
31.55988,-18.47403,2.892487,-13.31647
32.5711,-6.549805,23.53894,19.45349
33.59431,-2.122498,5.145142,-6.203125
34.61479,-1.686707,2.034607,-3.056
35.63556,0.1069946,4.763855,-2.750305
36.64635,0.6798096,-8.67218,9.207794
37.65758,33.29904,-15.65195,-350.5332
38.67013,9.325226,-0.4487762,5.71414
39.69235,-24.51163,-30.60762,353.0285
40.71266,24.375,22.95445,-2.491852
41.72357,-7.901276,-4.991501,-1.732605
42.74546,-2.976563,-12.37996,-353.9174
43.76798,-12.33401,-20.67459,3.745444
44.78953,1.68457,1.469742,-1.035509
45.81049,1.391968,0.4738312,-0.2292471
Time,RCPx,RCPy,RCPz
1.015216,1.921789,0.9379078,-4.529872
2.036808,1.921912,0.9379138,-4.530035
3.059085,1.921877,0.9379528,-4.529787
4.069881,1.921923,0.9379934,-4.529916
5.091102,1.921948,0.9380264,-4.53007
6.104456,1.921874,0.9378818,-4.530215
7.125914,1.921967,0.9381155,-4.530124
8.146507,1.921858,0.9379605,-4.530062
9.157208,1.921927,0.9380649,-4.53009
10.16924,1.922055,0.9379907,-4.530182
11.19207,1.921914,0.9379246,-4.529943
12.21152,1.914871,0.9382689,-4.533554
13.23492,1.911754,0.9527545,-4.523397
14.25607,1.993225,1.35444,-4.306158
15.27894,1.939804,1.28775,-4.178956
16.2999,1.961831,1.214495,-4.213377
17.32173,1.932108,1.210286,-3.952168
18.33376,1.909461,1.075252,-3.825601
19.3544,1.913055,1.100579,-3.827608
20.37681,2.493292,0.9939544,-3.493636
21.39863,4.360487,0.7703723,-2.987966
22.42015,6.259084,0.8055706,-2.902251
23.43108,7.941808,0.7354863,-2.467479
24.44448,7.867873,0.65279,-2.136964
25.46397,7.712868,0.7949761,-1.401433
26.47465,7.307653,0.5805807,-1.606444
27.49497,7.126851,0.4533858,-1.855059
28.50654,7.128069,0.4189041,-1.88332
29.51762,7.127854,0.417381,-1.899734
30.53881,7.130159,0.4163771,-1.90187
31.55988,7.133736,0.4418376,-1.884029
32.5711,5.684642,0.5068967,-1.750806
33.59431,3.925386,0.4122171,-1.802465
34.61479,2.756779,0.1209802,-2.676586
35.63556,1.425336,0.2395223,-3.475741
36.64635,0.6540172,0.4056212,-4.011714
37.65758,0.7337378,0.5441158,-3.517722
38.67013,1.889964,1.116046,-3.262141
39.69235,3.013963,1.467012,-2.877867
40.71266,2.887674,1.461357,-2.639062
41.72357,2.866338,1.425212,-2.678364
42.74546,2.875566,1.451937,-2.735623
43.76798,2.916919,1.524697,-2.85184
44.78953,2.909069,1.513008,-2.853629
45.81049,2.90963,1.506089,-2.849987
Time,RCRx,RCRy,RCRz
1.015216,347.1487,6.909681,353.886
2.036808,347.1365,6.909054,353.8878
3.059085,347.1474,6.903009,353.8857
4.069881,347.1535,6.91283,353.8813
5.091102,347.1592,6.906185,353.8886
6.104456,347.149,6.876269,353.8815
