Time,Real Position
1611.296,-342.6911 25.95584 -3.57997
1702.318,-15.35818 -11.13087 -0.7856345
1788.331,340.9203 -5.506119 352.6451
1881.349,6.465515 8.819321 -0.1943359
1973.37,-346.0176 -0.4682922 3.329834
2058.385,-1.723441 -4.242142 -354.8684
2147.404,355.7162 -24.24896 4.826274
2239.427,-352.0903 12.34216 -2.791332
2329.446,0.09945917 5.609619 -0.08708167
2419.472,-0.9759607 0.7647247 0.4705834
2510.495,-0.4590075 4.900345 -1.282588
2600.515,328.4093 -23.86186 1.139885
2691.537,4.533569 2.673599 0.3374274
2782.548,-317.1107 25.82185 -1.872109
2869.571,-6.4804 -0.1577301 -1.283518
2962.592,-5.453521 -6.062332 1.108198
3052.607,339.4911 -21.48492 1.172289
3140.624,-5.235229 15.94353 -2.653235
3230.638,7.402374 -5.811279 2.143835
3317.661,-345.0569 20.90541 0.9961348
3404.679,3.211809 -21.7077 2.591971
3493.7,15.70504 -1.806885 4.151206
3582.721,-4.331213 4.761566 -5.414889
3671.735,-7.222261 6.333954 -0.2930026
3762.756,306.5465 -11.18552 350.4196
3852.775,-314.9065 -0.3336792 -350.3596
Time,Simulated Movement
85.01783,-17.77847 -56.96423 344.9419
177.0291,335.1047 -62.98889 -344.1452
268.0408,-352.447 9.659958 -1.469166
358.0634,9.49994 8.786835 350.8562
448.0861,335.4236 -5.727295 0.02325439
538.1069,8.415253 8.746185 1.828308
630.128,-356.2832 -0.6874237 2.917572
719.1393,11.64871 -1.788696 -356.5497
806.1509,-0.1547136 -2.452637 0.6823611
895.1657,-2.275224 -0.3901367 0.4888268
984.1852,-7.911579 -13.97052 0.3991027
1075.199,351.4692 -4.3918 1.483525
1164.212,-353.1904 12.25478 -2.641848
1254.231,3.486819 6.141418 -1.158395
1344.242,3.58602 -7.817734 2.470384
1434.254,349.1511 0.1617126 -2.617551
1524.274,0.9573669 -1.666031 2.163128
1611.296,-342.6911 25.95584 -3.57997
1702.318,-15.35818 -11.13087 -0.7856345
1788.331,340.9203 -5.506119 352.6451
1881.349,6.465515 8.819321 -0.1943359
1973.37,-346.0176 -0.4682922 3.329834
2058.385,-1.723441 -4.242142 -354.8684
2147.404,355.7162 -24.24896 4.826274
2239.427,-352.0903 12.34216 -2.791332
2329.446,0.09945917 5.609619 -0.08708167
