Time,RPx,RPy,RPz
28.47692,31.14392,4.375366,4.254211
29.49701,13.3613,26.60953,2.877197
30.51846,-19.70526,57.60995,-15.35538
31.5298,-319.7927,-110.7976,-337.178
32.55167,-9.250703,14.04999,2.004589
33.56213,-1.75068,17.74484,-2.228467
34.57359,322.4654,52.74329,349.882
35.59592,-6.492279,-50.17822,-349.5291
36.61677,33.36127,-26.02518,-3.696895
37.63908,-348.0981,26.07333,1.148213
38.66043,6.257873,7.759674,-2.274348
39.6825,11.88682,-6.842499,4.554644
Time,SMx,SMy,SMz
1.018186,3.030221,-5.498962,-1.10498
2.029546,4.512611,-13.73091,4.391032
3.041309,-5.636343,3.802002,-0.661828
4.061861,15.05406,13.63739,0.165977
5.073675,4.571951,20.11655,-2.338725
6.095851,331.2892,1.091873,353.2755
7.116469,-28.88583,0.8617859,-6.015961
8.128618,-319.6851,-8.237244,-350.8111
9.149527,-6.634266,9.645477,2.220388
10.16125,2.279705,3.685547,2.971175
11.17321,340.2975,61.2663,350.438
12.18316,0.1764832,33.50922,-8.286438
13.19463,-4.596558,-17.03799,7.199188
14.20596,15.76221,-17.18481,4.115784
15.22733,-5.81073,-42.72791,-2.897247
16.24872,-337.8097,-12.03796,-348.8959
17.27084,-3.766912,10.70877,-1.726651
18.29276,-6.885926,13.17926,-3.013312
19.31515,333.5446,16.14465,352.9846
20.33524,8.733215,-3.690979,2.081696
21.35722,6.33432,-3.596313,0.3898315
22.37942,-21.63953,-2.339996,-1.759491
23.39145,23.40448,-48.93457,-348.0295
24.41294,-340.5386,17.5686,-7.366713
25.43258,-1.602427,6.605042,-0.3662245
26.44444,-4.023429,6.570313,-0.41558
27.46631,305.7498,-23.22931,350.5441
28.47692,31.14392,4.375366,4.254211
29.49701,13.3613,26.60953,2.877197
30.51846,-19.70526,57.60995,-15.35538
31.5298,-319.7927,-110.7976,-337.178
32.55167,-9.250703,14.04999,2.004589
33.56213,-1.75068,17.74484,-2.228467
34.57359,322.4654,52.74329,349.882
35.59592,-6.492279,-50.17822,-349.5291
36.61677,33.36127,-26.02518,-3.696895
37.63908,-348.0981,26.07333,1.148213
38.66043,6.257873,7.759674,-2.274348
39.6825,11.88682,-6.842499,4.554644
Time,SVx,SVy,SVz
1.018186,-0.0113219,0.01358366,0.07709265
2.029546,1.193533,-0.1931627,0.8048921
3.041309,1.014453,0.08911526,-0.1075118
4.061861,-0.2153635,0.3019494,-1.179609
5.073675,-0.2671318,0.112336,-0.591795
6.095851,0.398577,0.1530101,0.28233
7.116469,1.688637,-0.756007,0.8812799
8.128618,1.602535,-0.5573537,0.9058454
9.149527,-0.7545648,-0.6509918,-1.249604
10.16125,-1.626202,-0.4201965,-2.164529
11.17321,-1.750734,-0.297328,-1.846776
12.18316,-0.2966514,0.1023612,-0.03011608
13.19463,0.2283521,1.392224,1.476545
14.20596,-0.4351561,0.7408659,1.039059
15.22733,1.134564,-0.4499887,0.310873
16.24872,1.797385,-0.6833715,-0.2181439
17.27084,-1.001459,-0.9344122,-0.3548665
18.29276,-1.771626,0.2190229,-0.4726515
19.31515,0.03671002,-0.1979309,0.1992998
20.33524,-0.6659951,1.223692,1.040757
21.35722,-0.3084978,0.2361925,0.1945891
22.37942,0.8385025,-0.1122054,0.5238304
23.39145,1.675321,-0.397033,-0.1808743
24.41294,-0.1798434,0.2465517,-0.3468575
25.43258,-1.770105,-0.1933594,-0.4286952
26.44444,-0.6792834,0.07610184,-0.1227489
27.46631,1.108266,-0.4477614,0.6505308
