Time,RPx,RPy,RPz
10.19509,-0.003674507,-0.006804287,-0.001280785
11.20681,0.0002574921,-0.00451827,-0.005157471
Time,RCAVx,RCAVy,RCAVz
1.021368,-14.15982,-68.6582,7.341466
2.042546,-18.01663,57.55991,291.3581
3.054709,-14.91443,-55.34708,25.3219
4.066117,44.05896,-214.6097,-67.08362
5.087234,8.113251,-27.94747,-3.794037
6.108851,-34.51633,342.6736,-3.355103
7.130345,11.82434,-126.1233,105.0905
8.153047,2.212158,-6.230347,-356.3885
9.17614,-1.650848,-1.355713,1.022215
10.19509,2.018127,0.7584991,0.7050509
11.20681,1.259613,-0.3479004,0.4894814
Task,Time Taken
